Position, V_true, V_rec, V_fit, V_rec, V_fit
nm, V, V, V, V, V
, , 5% Noise, 5% Noise, 10% Noise, 10% Noise
  0.000000,   0.000000,   0.012474,   0.042789,   0.052067,   0.003543
  0.100000,   0.000000,   0.022150,   0.042789,   0.033788,   0.003557
  0.200000,   0.000000,   0.027070,   0.042789,   0.015452,   0.003575
  0.300000,   0.000000,   0.035336,   0.042789,  -0.004234,   0.003598
  0.400000,   0.000000,   0.055544,   0.042789,  -0.033368,   0.003626
  0.500000,   0.000000,   0.085623,   0.042789,  -0.067527,   0.003661
  0.600000,   0.000000,   0.113363,   0.042789,  -0.085517,   0.003703
  0.700000,   0.000000,   0.126572,   0.042789,  -0.067543,   0.003756
  0.800000,   0.000000,   0.122970,   0.042789,  -0.015725,   0.003820
  0.900000,   0.000000,   0.111109,   0.042789,   0.041140,   0.003897
  1.000000,   0.000000,   0.101186,   0.042789,   0.067910,   0.003991
  1.100000,   0.000000,   0.096337,   0.042789,   0.056406,   0.004104
  1.200000,   0.000000,   0.093487,   0.042789,   0.030800,   0.004240
  1.300000,   0.000000,   0.090088,   0.042789,   0.019594,   0.004402
  1.400000,   0.000000,   0.088006,   0.042789,   0.030445,   0.004595
  1.500000,   0.000000,   0.090815,   0.042789,   0.046144,   0.004823
  1.600000,   0.000000,   0.098516,   0.042789,   0.043021,   0.005092
  1.700000,   0.000000,   0.105864,   0.042789,   0.016613,   0.005407
  1.800000,   0.000000,   0.105746,   0.042789,  -0.016098,   0.005774
  1.900000,   0.000000,   0.094591,   0.042789,  -0.035611,   0.006202
  2.000000,   0.000001,   0.075416,   0.042789,  -0.034432,   0.006696
  2.100000,   0.000001,   0.056112,   0.042789,  -0.018908,   0.007266
  2.200000,   0.000002,   0.044932,   0.042789,  -0.000018,   0.007918
  2.300000,   0.000003,   0.046215,   0.042789,   0.018271,   0.008663
  2.400000,   0.000005,   0.057745,   0.042789,   0.039901,   0.009508
  2.500000,   0.000008,   0.071350,   0.042789,   0.067499,   0.010464
  2.600000,   0.000013,   0.077877,   0.042789,   0.094977,   0.011539
  2.700000,   0.000021,   0.073803,   0.042789,   0.110916,   0.012742
  2.800000,   0.000034,   0.063864,   0.042789,   0.109199,   0.014082
  2.900000,   0.000052,   0.056836,   0.042789,   0.093138,   0.015567
  3.000000,   0.000080,   0.057779,   0.042789,   0.070397,   0.017205
  3.100000,   0.000120,   0.063486,   0.042789,   0.047099,   0.019002
  3.200000,   0.000180,   0.064963,   0.042790,   0.025507,   0.020965
  3.300000,   0.000265,   0.055059,   0.042791,   0.005329,   0.023097
  3.400000,   0.000387,   0.034818,   0.042792,  -0.012961,   0.025400
  3.500000,   0.000556,   0.012449,   0.042795,  -0.025974,   0.027875
  3.600000,   0.000791,  -0.003612,   0.042801,  -0.028503,   0.030521
  3.700000,   0.001111,  -0.010394,   0.042810,  -0.017552,   0.033333
  3.800000,   0.001541,  -0.010933,   0.042828,   0.003776,   0.036304
  3.900000,   0.002111,  -0.010229,   0.042858,   0.026667,   0.039427
  4.000000,   0.002857,  -0.009564,   0.042908,   0.041225,   0.042688
  4.100000,   0.003818,  -0.004131,   0.042991,   0.042120,   0.046074
  4.200000,   0.005041,   0.013145,   0.043126,   0.032905,   0.049565
  4.300000,   0.006573,   0.043654,   0.043337,   0.025771,   0.053142
  4.400000,   0.008466,   0.077283,   0.043663,   0.034792,   0.056781
  4.500000,   0.010770,   0.097101,   0.044153,   0.066281,   0.060457
  4.600000,   0.013534,   0.093491,   0.044874,   0.112048,   0.064141
  4.700000,   0.016797,   0.072817,   0.045908,   0.151495,   0.067804
  4.800000,   0.020592,   0.052329,   0.047357,   0.164612,   0.071413
  4.900000,   0.024935,   0.046847,   0.049339,   0.145291,   0.074936
  5.000000,   0.029823,   0.056560,   0.051984,   0.104061,   0.078340
  5.100000,   0.035232,   0.067658,   0.055425,   0.062312,   0.081590
  5.200000,   0.041111,   0.068342,   0.059790,   0.040284,   0.084653
  5.300000,   0.047383,   0.062213,   0.065182,   0.042492,   0.087496
  5.400000,   0.053941,   0.064280,   0.071664,   0.055772,   0.090089
  5.500000,   0.060653,   0.084779,   0.079241,   0.063129,   0.092403
  5.600000,   0.067364,   0.116255,   0.087840,   0.057649,   0.094411
  5.700000,   0.073899,   0.139270,   0.097297,   0.047589,   0.096091
  5.800000,   0.080074,   0.142289,   0.107355,   0.048842,   0.097422
  5.900000,   0.085700,   0.131541,   0.117663,   0.067033,   0.098388
  6.000000,   0.090596,   0.121945,   0.127793,   0.090483,   0.098978
  6.100000,   0.094596,   0.121678,   0.137266,   0.102882,   0.099186
  6.200000,   0.097561,   0.125813,   0.145589,   0.099054,   0.099007
  6.300000,   0.099385,   0.125597,   0.152296,   0.091401,   0.098446
  6.400000,   0.100000,   0.121657,   0.156991,   0.099278,   0.097507
  6.500000,   0.099385,   0.123947,   0.159386,   0.126386,   0.096204
  6.600000,   0.097561,   0.139455,   0.159331,   0.154331,   0.094550
  6.700000,   0.094596,   0.162093,   0.156829,   0.160119,   0.092566
  6.800000,   0.090596,   0.176804,   0.152038,   0.136021,   0.090274
  6.900000,   0.085700,   0.174933,   0.145249,   0.096640,   0.087701
  7.000000,   0.080074,   0.161893,   0.136865,   0.066773,   0.084875
  7.100000,   0.073899,   0.148765,   0.127352,   0.057971,   0.081828
  7.200000,   0.067364,   0.140582,   0.117204,   0.060917,   0.078591
  7.300000,   0.060653,   0.133650,   0.106899,   0.062117,   0.075198
  7.400000,   0.053941,   0.122437,   0.096861,   0.061092,   0.071683
  7.500000,   0.047383,   0.106746,   0.087437,   0.068560,   0.068079
  7.600000,   0.041111,   0.090019,   0.078881,   0.089971,   0.064419
  7.700000,   0.035232,   0.072680,   0.071352,   0.113961,   0.060735
  7.800000,   0.029823,   0.051423,   0.064919,   0.121219,   0.057058
  7.900000,   0.024935,   0.026000,   0.059574,   0.104885,   0.053415
  8.000000,   0.020592,   0.004066,   0.055253,   0.076827,   0.049832
  8.100000,   0.016797,  -0.003978,   0.051850,   0.053412,   0.046334
  8.200000,   0.013534,   0.004477,   0.049238,   0.040269,   0.042940
  8.300000,   0.010770,   0.020299,   0.047282,   0.032373,   0.039668
  8.400000,   0.008466,   0.030020,   0.045854,   0.025826,   0.036535
  8.500000,   0.006573,   0.027119,   0.044836,   0.024436,   0.033551
  8.600000,   0.005041,   0.015282,   0.044127,   0.031177,   0.030727
  8.700000,   0.003818,   0.001131,   0.043645,   0.036521,   0.028069
  8.800000,   0.002857,  -0.013090,   0.043326,   0.022624,   0.025581
  8.900000,   0.002111,  -0.027902,   0.043118,  -0.017456,   0.023264
  9.000000,   0.001541,  -0.039941,   0.042987,  -0.066580,   0.021120
  9.100000,   0.001111,  -0.040873,   0.042905,  -0.093336,   0.019145
  9.200000,   0.000791,  -0.025505,   0.042856,  -0.079840,   0.017335
  9.300000,   0.000556,  -0.000038,   0.042827,  -0.040843,   0.015685
  9.400000,   0.000387,   0.021156,   0.042810,  -0.008969,   0.014188
  9.500000,   0.000265,   0.028509,   0.042800,  -0.001042,   0.012838
  9.600000,   0.000180,   0.026070,   0.042795,  -0.004607,   0.011625
  9.700000,   0.000120,   0.027022,   0.042792,   0.005619,   0.010541
  9.800000,   0.000080,   0.040201,   0.042791,   0.037790,   0.009577
  9.900000,   0.000052,   0.061014,   0.042790,   0.069855,   0.008723
 10.000000,   0.000034,   0.076528,   0.042789,   0.075735,   0.007971
 10.100000,   0.000021,   0.078731,   0.042789,   0.055183,   0.007312
 10.200000,   0.000013,   0.071774,   0.042789,   0.030462,   0.006737
 10.300000,   0.000008,   0.067049,   0.042789,   0.024023,   0.006237
 10.400000,   0.000005,   0.071379,   0.042789,   0.036540,   0.005804
 10.500000,   0.000003,   0.079929,   0.042789,   0.044968,   0.005432
 10.600000,   0.000002,   0.081027,   0.042789,   0.028994,   0.005114
 10.700000,   0.000001,   0.067541,   0.042789,  -0.008412,   0.004842
 10.800000,   0.000001,   0.044744,   0.042789,  -0.046205,   0.004611
 10.900000,   0.000000,   0.028156,   0.042789,  -0.061480,   0.004416
 11.000000,   0.000000,   0.030690,   0.042789,  -0.047070,   0.004251
 11.100000,   0.000000,   0.049550,   0.042789,  -0.016197,   0.004114
 11.200000,   0.000000,   0.067260,   0.042789,   0.014533,   0.003999
 11.300000,   0.000000,   0.066373,   0.042789,   0.038648,   0.003904
 11.400000,   0.000000,   0.044311,   0.042789,   0.055707,   0.003825
 11.500000,   0.000000,   0.016222,   0.042789,   0.063923,   0.003760
 11.600000,   0.000000,   0.002422,   0.042789,   0.061327,   0.003707
 11.700000,   0.000000,   0.009956,   0.042789,   0.051242,   0.003664
 11.800000,   0.000000,   0.025817,   0.042789,   0.039756,   0.003628
 11.900000,   0.000000,   0.029809,   0.042789,   0.028289,   0.003600
 12.000000,   0.000000,   0.014718,   0.042789,   0.012371,   0.003577
 12.100000,   0.000000,  -0.007478,   0.042789,  -0.011833,   0.003559
 12.200000,   0.000000,  -0.018909,   0.042789,  -0.039821,   0.003544
 12.300000,   0.000000,  -0.012993,   0.042789,  -0.060834,   0.003532
 12.400000,   0.000000,   0.001366,   0.042789,  -0.068818,   0.003523
 12.500000,   0.000000,   0.010701,   0.042789,  -0.066561,   0.003516
 12.600000,   0.000000,   0.010752,   0.042789,  -0.058575,   0.003510
 12.700000,   0.000000,   0.008151,   0.042789,  -0.043594,   0.003505
 12.800000,   0.000000,   0.009446,  -0.004622,  -0.017150,  -0.029302
 12.900000,   0.000000,   0.012130,  -0.004622,   0.016882,  -0.029302
 13.000000,   0.000000,   0.008503,  -0.004622,   0.042149,  -0.029302
 13.100000,   0.000000,  -0.002760,  -0.004622,   0.043833,  -0.029302
 13.200000,   0.000000,  -0.011510,  -0.004622,   0.023569,  -0.029302
 13.300000,   0.000000,  -0.005080,  -0.004622,  -0.003784,  -0.029302
 13.400000,   0.000000,   0.018107,  -0.004622,  -0.025790,  -0.029302
 13.500000,   0.000000,   0.045926,  -0.004622,  -0.043071,  -0.029302
 13.600000,   0.000000,   0.062457,  -0.004622,  -0.062946,  -0.029302
 13.700000,   0.000000,   0.059584,  -0.004622,  -0.082720,  -0.029302
 13.800000,   0.000000,   0.041533,  -0.004622,  -0.086496,  -0.029302
 13.900000,   0.000000,   0.019799,  -0.004622,  -0.064649,  -0.029301
 14.000000,   0.000000,   0.003125,  -0.004622,  -0.033284,  -0.029301
 14.100000,   0.000000,  -0.007592,  -0.004621,  -0.025899,  -0.029301
 14.200000,   0.000000,  -0.016112,  -0.004621,  -0.061347,  -0.029301
 14.300000,   0.000000,  -0.024874,  -0.004619,  -0.122720,  -0.029301
 14.400000,   0.000000,  -0.031557,  -0.004618,  -0.168866,  -0.029300
 14.500000,   0.000000,  -0.030249,  -0.004615,  -0.169946,  -0.029299
 14.600000,   0.000001,  -0.016105,  -0.004610,  -0.135943,  -0.029297
 14.700000,   0.000001,   0.010361,  -0.004603,  -0.102215,  -0.029295
 14.800000,   0.000003,   0.041680,  -0.004592,  -0.087705,  -0.029290
 14.900000,   0.000004,   0.065256,  -0.004576,  -0.081595,  -0.029284
 15.000000,   0.000007,   0.069973,  -0.004552,  -0.065594,  -0.029274
 15.100000,   0.000012,   0.054516,  -0.004516,  -0.038199,  -0.029260
 15.200000,   0.000021,   0.028815,  -0.004463,  -0.014006,  -0.029238
 15.300000,   0.000033,   0.006700,  -0.004387,  -0.000271,  -0.029206
 15.400000,   0.000054,  -0.002530,  -0.004278,   0.014171,  -0.029159
 15.500000,   0.000086,   0.002089,  -0.004124,   0.040812,  -0.029091
 15.600000,   0.000134,   0.014465,  -0.003908,   0.069447,  -0.028993
 15.700000,   0.000208,   0.025979,  -0.003608,   0.073495,  -0.028855
 15.800000,   0.000318,   0.030155,  -0.003198,   0.042822,  -0.028660
 15.900000,   0.000482,   0.025309,  -0.002642,   0.002376,  -0.028390
 16.000000,   0.000719,   0.015220,  -0.001897,  -0.009406,  -0.028019
 16.100000,   0.001061,   0.007503,  -0.000909,   0.022278,  -0.027515
 16.200000,   0.001546,   0.008736,   0.000386,   0.071958,  -0.026837
 16.300000,   0.002226,   0.019130,   0.002064,   0.098734,  -0.025935
 16.400000,   0.003164,   0.032569,   0.004216,   0.089722,  -0.024747
 16.500000,   0.004444,   0.042964,   0.006942,   0.066972,  -0.023201
 16.600000,   0.006163,   0.050198,   0.010358,   0.056389,  -0.021209
 16.700000,   0.008444,   0.059163,   0.014586,   0.060820,  -0.018673
 16.800000,   0.011426,   0.072591,   0.019761,   0.060501,  -0.015478
 16.900000,   0.015272,   0.085639,   0.026018,   0.037905,  -0.011499
 17.000000,   0.020162,   0.089522,   0.033494,   0.000241,  -0.006599
 17.100000,   0.026291,   0.081049,   0.042317,  -0.027509,  -0.000634
 17.200000,   0.033863,   0.067167,   0.052600,  -0.027937,   0.006545
 17.300000,   0.043080,   0.058858,   0.064434,  -0.006015,   0.015082
 17.400000,   0.054134,   0.060572,   0.077878,   0.016774,   0.025116
 17.500000,   0.067189,   0.067641,   0.092947,   0.021696,   0.036765
 17.600000,   0.082370,   0.075050,   0.109607,   0.009933,   0.050123
 17.700000,   0.099741,   0.086106,   0.127768,   0.003330,   0.065247
 17.800000,   0.119294,   0.109504,   0.147271,   0.028030,   0.082151
 17.900000,   0.140929,   0.147041,   0.167896,   0.093200,   0.100791
 18.000000,   0.164445,   0.187189,   0.189349,   0.179900,   0.121063
 18.100000,   0.189531,   0.215054,   0.211276,   0.251358,   0.142793
 18.200000,   0.215763,   0.227674,   0.233265,   0.280461,   0.165737
 18.300000,   0.242612,   0.237526,   0.254856,   0.270607,   0.189577
 18.400000,   0.269455,   0.260801,   0.275560,   0.250545,   0.213928
 18.500000,   0.295597,   0.300396,   0.294873,   0.246949,   0.238344
 18.600000,   0.320295,   0.341625,   0.312296,   0.257955,   0.262329
 18.700000,   0.342799,   0.366335,   0.327359,   0.257539,   0.285355
 18.800000,   0.362382,   0.368038,   0.339640,   0.232125,   0.306877
 18.900000,   0.378384,   0.354236,   0.348784,   0.205873,   0.326356
 19.000000,   0.390244,   0.338479,   0.354521,   0.222195,   0.343284
 19.100000,   0.397538,   0.330631,   0.356680,   0.299172,   0.357198
 19.200000,   0.400000,   0.332978,   0.355196,   0.401967,   0.367709
 19.300000,   0.397538,   0.342573,   0.350113,   0.466952,   0.374516
 19.400000,   0.390244,   0.353496,   0.341584,   0.458397,   0.377421
 19.500000,   0.378384,   0.357169,   0.329860,   0.395330,   0.376339
 19.600000,   0.362382,   0.345056,   0.315283,   0.328675,   0.371302
 19.700000,   0.342799,   0.314770,   0.298264,   0.296867,   0.362457
 19.800000,   0.320295,   0.274380,   0.279265,   0.298202,   0.350058
 19.900000,   0.295597,   0.239440,   0.258781,   0.304124,   0.334458
 20.000000,   0.269455,   0.221262,   0.237317,   0.295553,   0.316087
 20.100000,   0.242612,   0.215379,   0.215366,   0.279952,   0.295435
 20.200000,   0.215763,   0.205419,   0.193394,   0.275990,   0.273031
 20.300000,   0.189531,   0.179381,   0.171824,   0.289603,   0.249418
 20.400000,   0.164445,   0.139909,   0.151022,   0.308270,   0.225136
 20.500000,   0.140929,   0.100885,   0.131292,   0.314247,   0.200697
 20.600000,   0.119294,   0.075083,   0.112868,   0.297965,   0.176571
 20.700000,   0.099741,   0.064510,   0.095921,   0.260952,   0.153173
 20.800000,   0.082370,   0.063153,   0.080552,   0.210952,   0.130851
 20.900000,   0.067189,   0.066249,   0.066807,   0.155395,   0.109885
 21.000000,   0.054134,   0.073028,   0.054677,   0.098533,   0.090481
 21.100000,   0.043080,   0.081328,   0.044112,   0.042849,   0.072773
 21.200000,   0.033863,   0.083991,   0.035026,  -0.009121,   0.056831
 21.300000,   0.026291,   0.074019,   0.027310,  -0.054858,   0.042669
 21.400000,   0.020162,   0.052439,   0.020837,  -0.092824,   0.030246
 21.500000,   0.015272,   0.028758,   0.015471,  -0.122249,   0.019486
 21.600000,   0.011426,   0.012347,   0.011077,  -0.141507,   0.010279
 21.700000,   0.008444,   0.003182,   0.007521,  -0.147304,   0.002495
 21.800000,   0.006163,  -0.007233,   0.004675,  -0.136247,  -0.004007
 21.900000,   0.004444,  -0.025103,   0.002425,  -0.108593,  -0.009377
 22.000000,   0.003164,  -0.046253,   0.000666,  -0.072198,  -0.013761
 22.100000,   0.002226,  -0.059673,  -0.000694,  -0.041643,  -0.017298
 22.200000,   0.001546,  -0.058143,  -0.001734,  -0.029589,  -0.020121
 22.300000,   0.001061,  -0.044079,  -0.002520,  -0.038017,  -0.022349
 22.400000,   0.000719,  -0.025578,  -0.003107,  -0.058479,  -0.024088
 22.500000,   0.000482,  -0.009251,  -0.003542,  -0.079130,  -0.025430
 22.600000,   0.000318,   0.002117,  -0.003859,  -0.092424,  -0.026455
 22.700000,   0.000208,   0.006886,  -0.004089,  -0.099512,  -0.027229
 22.800000,   0.000134,   0.002965,  -0.004253,  -0.106604,  -0.027807
 22.900000,   0.000086,  -0.009161,  -0.004369,  -0.115026,  -0.028235
 23.000000,   0.000054,  -0.022583,  -0.004451,  -0.116857,  -0.028547
 23.100000,   0.000033,  -0.025592,  -0.004507,  -0.101761,  -0.028774
 23.200000,   0.000021,  -0.009259,  -0.004546,  -0.069162,  -0.028936
 23.300000,   0.000012,   0.025525,  -0.004572,  -0.034419,  -0.029050
 23.400000,   0.000007,   0.067290,  -0.004590,  -0.017377,  -0.029131
 23.500000,   0.000004,   0.099391,  -0.004601,  -0.021619,  -0.029187
 23.600000,   0.000003,   0.108246,  -0.004609,  -0.029097,  -0.029225
 23.700000,   0.000001,   0.090165,  -0.004614,  -0.016435,  -0.029251
 23.800000,   0.000001,   0.053015,  -0.004617,   0.021091,  -0.029269
 23.900000,   0.000000,   0.011840,  -0.004619,   0.060078,  -0.029280
 24.000000,   0.000000,  -0.019931,  -0.004620,   0.067704,  -0.029288
 24.100000,   0.000000,  -0.039510,  -0.004621,   0.030041,  -0.029293
 24.200000,   0.000000,  -0.056277,  -0.004622,  -0.035524,  -0.029296
 24.300000,   0.000000,  -0.082065,  -0.004622,  -0.090597,  -0.029298
 24.400000,   0.000000,  -0.117932,  -0.004622,  -0.105044,  -0.029299
 24.500000,   0.000000,  -0.150172,  -0.004622,  -0.079238,  -0.029300
 24.600000,   0.000000,  -0.161398,  -0.004622,  -0.034639,  -0.029301
 24.700000,   0.000000,  -0.146883,  -0.004622,   0.009228,  -0.029301
 24.800000,   0.000000,  -0.118049,  -0.004622,   0.045076,  -0.029301
 24.900000,   0.000000,  -0.090460,  -0.004622,   0.072913,  -0.029301
 25.000000,   0.000000,  -0.071143,  -0.004622,   0.090429,  -0.029301
 25.100000,   0.000000,  -0.057389,  -0.004622,   0.090895,  -0.029302
 25.200000,   0.000000,  -0.045727,  -0.004622,   0.070008,  -0.029302
 25.300000,   0.000000,  -0.038570,  -0.004622,   0.032862,  -0.029302
 25.400000,   0.000000,  -0.039861,  -0.004622,  -0.005930,  -0.029302
